time	V(vout)*Ix(M2:D)+V(p_gate)*Ix(M2:G)+V(N001)*Ix(M2:S)
7.952782656579213e-002	2.935847e-004
7.953153089429485e-002	2.775904e-004
7.953540833638798e-002	2.509614e-004
7.953987906888287e-002	2.170345e-004
7.954392660287750e-002	1.879925e-004
7.954819883035269e-002	1.615367e-004
7.955195739217222e-002	1.419802e-004
7.955534561683057e-002	1.274139e-004
7.955837228664922e-002	1.165353e-004
7.956081396206534e-002	1.090886e-004
7.956298369873213e-002	1.033633e-004
7.956479750147461e-002	9.913412e-005
7.956632664259448e-002	9.592595e-005
7.956758004754534e-002	9.352403e-005
7.956862116302817e-002	9.166796e-005
7.956946792762518e-002	9.025313e-005
7.957016667642615e-002	8.913703e-005
7.957073594936096e-002	8.827212e-005
7.957120604739532e-002	8.757281e-005
7.957159231430576e-002	8.702488e-005
7.957218290807266e-002	8.620498e-005
7.957277833228831e-002	8.540027e-005
7.957361548712773e-002	8.433979e-005
7.957445264196715e-002	8.332963e-005
7.957528979680657e-002	8.237024e-005
7.957612695164598e-002	8.146202e-005
7.957696410648540e-002	8.060537e-005
7.957780126132483e-002	7.980065e-005
7.957863841616425e-002	7.904821e-005
7.958044778737854e-002	7.754862e-005
7.958307251086964e-002	7.566909e-005
7.958670663398677e-002	7.356167e-005
7.959203569399805e-002	7.124075e-005
7.959882311310094e-002	6.924150e-005
7.960855220410677e-002	6.752098e-005
7.961922893738892e-002	6.653744e-005
7.963505787030788e-002	6.592186e-005
7.965458414621496e-002	6.565781e-005
7.967976259940272e-002	6.557968e-005
7.972156990214933e-002	6.556303e-005
7.995088130985174e-002	6.556208e-005
8.000000000000000e-002	6.565547e-005
8.000491186901483e-002	6.575066e-005
8.001473560704449e-002	6.572261e-005
8.003184701992705e-002	6.561596e-005
8.004829850955585e-002	6.557903e-005
8.008120148881344e-002	6.556509e-005
8.038357109002987e-002	6.556366e-005
8.068594069124632e-002	6.556255e-005
8.098831029246276e-002	6.556176e-005
8.129067989367919e-002	6.556131e-005
8.159304949489563e-002	6.556118e-005
8.189541909611207e-002	6.556137e-005
8.219778869732851e-002	6.556190e-005
8.688528869732824e-002	6.556190e-005
9.994245239465499e-002	6.556189e-005
1.000000000000000e-001	6.556190e-005
